lon,lat
120.979797,14.605364
120.979797,14.605364
120.979797,14.605364
120.979797,14.605364
123.304325,9.309578
122.551225,10.719039
122.551225,10.719039
123.287297,9.296539
123.287297,9.296539
122.566922,11.004747
123.287297,9.296539
120.993791,6.047425
123.863111,10.378081
123.863111,10.378081
123.863111,10.378081
123.863111,10.378081
123.863111,10.378081
123.287297,9.296539
123.287297,9.296539
123.287297,9.296539
123.287297,9.296539
122.566922,11.004747
122.168642,7.173661
123.863111,10.378081
123.863111,10.378081
123.287297,9.296539
122.876619,11.428586
123.287297,9.296539
122.168642,7.173661
122.168642,7.173661
120.285117,14.838908
120.270725,14.826
120.967239,14.650092
120.967239,14.650092
120.967239,14.650092
120.967239,14.650092
120.967239,14.650092
120.967239,14.650092
120.967239,14.650092
123.832,10.3199
123.293,9.338031
123.308056,9.310278
123.308056,9.310278
123.741433,11.205219
123.741433,11.205219
123.741433,11.205219
123.741433,11.205219
123.741433,11.205219
123.741433,11.205219
123.741433,11.205219
123.741433,11.205219
123.741433,11.205219
120.993791,6.047425
120.991987,6.04909
121.244314,14.170758
121.244314,14.170758
120.111467,15.313111
122.564439,12.314439
123.508947,13.432997
123.508947,13.432997
118.904793,10.196576
124.037008,12.958814
123.405,9.88015
121.414083,12.022817
122.5967,10.6662
122.5967,10.6662
122.5967,10.6662
122.5967,10.6662
122.5967,10.6662
122.5967,10.6662
122.5967,10.6662
123.4024,9.9291
121.9682,14.752583
121.9682,14.752583
121.9682,14.752583
123.677617,10.439783
124.04898,12.96601
124.04898,12.96601
124.04898,12.96601
124.04898,12.96601
124.04898,12.96601
124.5548,10.0902
124.5548,10.0902
124.5548,10.0902
124.5548,10.0902
124.5548,10.0902
123.62348,12.36835
123.62348,12.36835
123.62348,12.36835
123.62348,12.36835
123.62348,12.36835
122.45,13.9
119.79285,5.03123
119.79285,5.03123
119.79792,5.033267
119.79792,5.033267
123.5269,13.4295
123.5269,13.4295
123.5269,13.4295
123.5269,13.4295
123.5269,13.4295
123.5269,13.4295
123.5269,13.4295
123.8145,13.8173
123.8145,13.8173
123.825037,13.938495
123.825037,13.938495
123.825037,13.938495
123.825037,13.938495
123.825037,13.938495
123.67926,13.80614
123.67838,13.80335
123.67838,13.80335
123.67838,13.80335
123.67838,13.80335
123.67926,13.80614
123.67926,13.80614
123.67926,13.80614
123.67926,13.80614
123.67926,13.80614
123.6865,13.78883
123.68369,13.80176
123.68369,13.80176
123.68369,13.80176
123.68369,13.80176
123.7223,11.1683
121.023489,14.660336
120.55,16.45
120.55,16.45
122.064167,12.405278
122.064167,12.405278
122.064167,12.405278
122.064167,12.405278
119.9805,16.1547
121,14.5833
121,14.5833
122.7691,14.07577
122.7691,14.07577
121.96694,13.40139
124.15,10.2
124.15,10.2
124.15,10.2
124.15,10.2
123.2412,9.4133
123.2412,9.4133
123.30411,9.303877
124.183578,10.134062
123.523624,13.433134
123.523624,13.433134
123.523624,13.433134
123.523624,13.433134
123.523624,13.433134
123.523624,13.433134
123.523624,13.433134
123.120502,13.685821
123.1285,13.7118
123.1285,13.7118
123.1285,13.7118
123.1285,13.7118
123.1285,13.7157
123.1284,13.714
123.1284,13.714
123.1285,13.7118
123.1285,13.7118
123.1286,13.7116
123.1286,13.7116
123.1286,13.7116
123.1286,13.7118
123.1286,13.7118
123.1285,13.7157
123.1285,13.7157
123.1285,13.7155
123.1284,13.7148
123.1284,13.7148
123.1204932,13.68582087
123.0746,13.4959
123.0742,13.4978
123.0744,13.4962
123.0744,13.4962
123.232446,13.546925
123.232446,13.546925
123.232446,13.546925
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
123.3236,13.7846
122.9857,13.5218
122.9857,13.5218
122.9857,13.5218
122.9857,13.5218
122.9857,13.5218
122.9857,13.5218
122.9857,13.5218
122.9857,13.5218
122.9857,13.5218
123.2292,13.5449
123.2292,13.5449
123.2292,13.5449
123.2292,13.5449
123.2292,13.5449
123.2292,13.5449
123.2292,13.5449
123.2292,13.5449
123.2292,13.5449
123.655,13.4772
123.655,13.4772
123.655,13.4772
123.655,13.4772
122.64988,9.6056
124.271253,13.765187
