"lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","species_occ"
120.979797,14.605364,27.3619575500488,28.7550716400146,26.0224647521973,2261,498,9,90.6082992553711,1273,42,459,109,8.00434684753418,65.5393447875977,104.07950592041,33.652172088623,21.4391307830811,12.213041305542,27.3869571685791,26.4992752075195,1
120.979797,14.605364,27.3619575500488,28.7550716400146,26.0224647521973,2261,498,9,90.6082992553711,1273,42,459,109,8.00434684753418,65.5393447875977,104.07950592041,33.652172088623,21.4391307830811,12.213041305542,27.3869571685791,26.4992752075195,1
120.979797,14.605364,27.3619575500488,28.7550716400146,26.0224647521973,2261,498,9,90.6082992553711,1273,42,459,109,8.00434684753418,65.5393447875977,104.07950592041,33.652172088623,21.4391307830811,12.213041305542,27.3869571685791,26.4992752075195,1
120.979797,14.605364,27.3619575500488,28.7550716400146,26.0224647521973,2261,498,9,90.6082992553711,1273,42,459,109,8.00434684753418,65.5393447875977,104.07950592041,33.652172088623,21.4391307830811,12.213041305542,27.3869571685791,26.4992752075195,1
123.304325,9.309578,27.9011363983154,28.7151508331299,27.0348491668701,1320,207,47,43.7099456787109,517,155,262,263,7.41439342498779,78.6483383178711,65.6416931152344,32.9363632202148,23.509090423584,9.42727279663086,27.8712120056152,27.7909088134766,1
122.551225,10.719039,27.734167098999,28.7493343353271,26.7866668701172,2193,336,36,65.0972213745117,958,135,498,200,7.80300045013428,72.626579284668,76.0157318115234,33.5880012512207,22.8439998626709,10.7440013885498,27.8726673126221,27.0433330535889,1
122.551225,10.719039,27.734167098999,28.7493343353271,26.7866668701172,2193,336,36,65.0972213745117,958,135,498,200,7.80300045013428,72.626579284668,76.0157318115234,33.5880012512207,22.8439998626709,10.7440013885498,27.8726673126221,27.0433330535889,1
123.287297,9.296539,27.6618328094482,28.4680004119873,26.7826671600342,1434,217,51,42.6023178100586,545,163,289,275,7.34433317184448,78.2644119262695,66.1529769897461,32.6520004272461,23.2679996490479,9.38400077819824,27.6426658630371,27.5319995880127,1
123.287297,9.296539,27.6618328094482,28.4680004119873,26.7826671600342,1434,217,51,42.6023178100586,545,163,289,275,7.34433317184448,78.2644119262695,66.1529769897461,32.6520004272461,23.2679996490479,9.38400077819824,27.6426658630371,27.5319995880127,1
122.566922,11.004747,27.1923332214355,28.2199993133545,26.1146659851074,2148,296,58,48.5219230651855,782,193,467,322,7.36866617202759,70.9617385864258,80.9903869628906,32.9599990844727,22.576000213623,10.3839988708496,27.220666885376,27.0613327026367,1
123.287297,9.296539,27.6618328094482,28.4680004119873,26.7826671600342,1434,217,51,42.6023178100586,545,163,289,275,7.34433317184448,78.2644119262695,66.1529769897461,32.6520004272461,23.2679996490479,9.38400077819824,27.6426658630371,27.5319995880127,1
120.993791,6.047425,26.8861103057861,27.338888168335,26.3111114501953,1948,234,90,30.0236549377441,620,312,620,352,7.64444494247437,85.8926467895508,43.5184211730957,31.3666667938232,22.466667175293,8.89999961853027,27.338888168335,26.3444442749023,1
